,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
15,15,"Willson
Luke Willson ",TE,"$1,000,000","$800,000",-,-,-,-,-,"($1,800,000)",1800000.0,1.08
16,16,"Ryan
Jon Ryan ",P,"$1,000,000","$600,000",-,-,-,-,-,"($2,800,000)",1600000.0,0.96
17,17,"Wilhoite
Michael Wilhoite ",ILB,"$800,000","$500,000","$250,000",-,-,-,-,"($1,300,000)",1550000.0,0.93
18,18,"Richardson
Paul Richardson ",WR,"$1,062,659","$436,879",-,-,-,-,-,"($436,879)",1499538.0,0.90
19,19,"Thorpe
Neiko Thorpe ",CB,"$800,000","$300,000","$234,375",-,-,-,-,"($1,400,000)",1334375.0,0.80
20,20,"Shead
Deshawn Shead ",FS,"$1,050,000","$150,000",-,-,-,-,-,"($1,000,000)",1200000.0,0.72
21,21,"Reed
Jarran Reed ",DT,"$672,256","$439,024",-,-,-,-,-,"($1,989,330)",1111280.0,0.66
22,22,"Walsh
Blair Walsh ",K,"$800,000",-,"$234,375",-,-,-,-,"($800,000)",1034375.0,0.62
23,23,"Clark
Frank Clark ",DE,"$774,294","$243,586",-,-,-,-,-,"($487,174)",1017880.0,0.61
24,24,"Smith
Marcus Smith ",DE,"$690,000","$300,000",-,-,-,-,-,"($300,000)",990000.0,0.59
